IBP
(3.6854918003082275, -209874.75703839728)
(23.863282680511475, -15630.565663994255)
(92.196929693222046, -4208.6350328806657)
(160.66698265075684, -4670.4836419894154)
(229.20409369468689, -4800.9471315002975)
(290.51286768913269, -4657.1323545100104)
(348.19387674331665, -4627.3316355531997)
(441.56145477294922, -4777.4859096158862)
(534.72969174385071, -4818.9433826845134)
(628.018141746521, -4782.7638549617268)
(721.25221490859985, -4660.6009612703847)
(814.58460092544556, -4649.2477485342724)
(907.68206191062927, -4676.8228030086502)
(1000.8438079357147, -4462.3614626150966)
(1094.2361700534821, -4230.7942709066465)
(1187.5319459438324, -4301.0500774708862)
(1280.8234369754791, -4294.8999947513776)
(1374.3804399967194, -4266.6369722136396)
(1467.596647977829, -4275.6634704308917)
(1560.7884061336517, -4201.3572298161853)
(1653.9528021812439, -4357.944450190611)
(1747.3557012081146, -4210.8253612238314)
(1839.9333832263947, -4312.5627714008797)
(1933.2598731517792, -4242.5153833108589)
(2026.4798219203949, -4293.0360021455444)
(2119.7934157848358, -4282.0255798758144)
(2211.6067748069763, -4274.3879854653542)
(2305.0700998306274, -4256.2428562024443)
(2398.2738318443298, -4244.1791427653598)
(2491.4635648727417, -4240.7312242979333)
(2584.4804418087006, -4215.8491543098489)
(2677.7105877399445, -4330.9681886880553)
(2770.8929886817932, -4284.6321607973014)
(2864.2451617717743, -4257.9143529724379)
(2957.3844249248505, -4265.5213138484432)
(3050.6023399829865, -4302.5665624672083)
(3143.6919000148773, -4286.1143861282553)
(3236.87202501297, -4311.2461709276658)
(3329.9976878166199, -4259.0716361736086)
(3423.3245987892151, -4350.8677678183385)
paintbox
(27.442527055740356, -13336.353224086068)
(56.684360980987549, -11872.212417481469)
(93.687729120254517, -9937.6267291265576)
(127.33964514732361, -10843.966024254727)
(168.33050107955933, -9856.0881918923042)
(211.41684198379517, -10309.369346945226)
(258.5446081161499, -9505.4053348380949)
(305.36869502067566, -9372.4432638747112)
(354.70891404151917, -9430.6178706073079)
(404.27874112129211, -9373.5419895259238)
(453.8434112071991, -9348.6702047663057)
(502.84581112861633, -9286.1061178956661)
(553.81355214118958, -9416.7806557689746)
(605.20880627632141, -9434.0428898561313)
(660.60724329948425, -9417.8822595036272)
(716.72966933250427, -9417.0999116335188)
(773.33164644241333, -9379.8994305938431)
(829.8706955909729, -9279.452520663448)
(886.46939969062805, -9377.7323012087509)
(943.06328773498535, -9378.0036920175189)
