IBP
(4.9419839382171631, -8132.3023432602477)
(45.839811086654663, -1544.3517748767426)
(119.54084205627441, -866.45509227097841)
(198.19793701171875, -687.40382524256506)
(276.42887902259827, -551.54477806515729)
(353.98856711387634, -543.09831706234718)
(427.58726906776428, -579.83170493663567)
(508.10503697395325, -573.04323862260935)
(581.90879797935486, -577.46469854093277)
(663.00123405456543, -559.34826683510664)
paintbox
(22.484433174133301, -512.03000297968902)
(44.737008094787598, -532.92631639651859)
(72.701088190078735, -510.91637610172643)
(98.20060920715332, -496.45979726465146)
(132.84261918067932, -539.96480779677006)
(162.92701816558838, -480.28412526190692)
(197.41546416282654, -485.21161959253703)
(232.73361325263977, -473.88039002480286)
(266.75086617469788, -501.82211036667724)
(301.52242827415466, -497.43460208727703)
(336.3971700668335, -517.07059494178247)
(371.07120704650879, -472.15220385134035)
(410.14980316162109, -475.96078241118352)
(445.64305806159973, -501.58420047939131)
(487.35317802429199, -476.48623482002296)
(528.54449892044067, -511.58768118660549)
(568.7875759601593, -509.93685946872273)
(612.6254460811615, -513.36183053884611)
(657.21793127059937, -457.01669580252315)
(697.54654026031494, -491.39127015099143)
