IBP
(4.5902879238128662, -15757.513675340719)
(51.481713056564331, -2875.2387253674133)
(142.34075808525085, -1352.3763689605692)
(232.16931009292603, -1212.6007568474831)
(321.28209495544434, -1177.2260584924386)
(410.15828013420105, -1180.8373505162117)
(498.69758033752441, -1144.4081098053493)
(586.8467333316803, -1209.3126780420891)
(674.45606327056885, -1212.0268264465947)
(764.97553730010986, -1184.2177804647729)
paintbox
(29.084904909133911, -1983.1345332250496)
(58.001000881195068, -2130.1230608979981)
(92.191569805145264, -1507.8894920974872)
(126.00376772880554, -1602.6151658805252)
(165.1289427280426, -1809.6143818213566)
(204.66219878196716, -1346.803851882252)
(251.88347983360291, -1382.7061653885567)
(299.32748174667358, -1266.4338030512993)
(348.65582156181335, -1296.3620016294203)
(397.38249778747559, -1314.0525239146775)
(447.81245565414429, -1271.0118043756506)
(497.40805888175964, -1288.8905836693364)
(548.84323692321777, -1269.8421443754462)
(609.64958786964417, -1255.285392427716)
(698.96378970146179, -1290.14117098734)
(788.03406476974487, -1216.7836895248668)
(878.1328387260437, -1288.1486192810357)
(968.07178783416748, -1259.3341662212022)
(1057.9501237869263, -1256.7252352726348)
(1122.8321487903595, -1272.7351079314469)
