(9.5577499866485596, -25299.254618553619)
(28.502583980560303, -16601.812804157304)
(47.500592947006226, -12809.927119206845)
(66.946433067321777, -12655.477866456687)
(86.200082063674927, -15388.144621159881)
(106.09867811203003, -12780.938459974157)
(126.43482303619385, -13014.351869591381)
(148.08175611495972, -11852.090475692337)
(169.47372627258301, -9316.3387361480181)
(199.14838218688965, -9674.07067565748)
(241.94600534439087, -6360.3230721944519)
(281.33888816833496, -5834.3225897496377)
(321.47347903251648, -6879.629916165225)
(368.02379202842712, -5894.4221061026419)
(415.01086115837097, -5842.0729939348721)
(466.80383205413818, -5779.7432019004655)
(514.87230515480042, -5855.9929740352291)
(566.75282216072083, -5814.541635074268)
(620.72498917579651, -5868.7026952754841)
