(17.779084920883179, -16354.547971498883)
(35.522702932357788, -16207.172045796184)
(53.283689975738525, -16587.645991168589)
(71.080499887466431, -16310.285220903759)
(89.15912389755249, -16392.72457799382)
(107.11433887481689, -16356.583548370138)
(125.04094982147217, -16305.19138495671)
(143.16637372970581, -16377.399404916594)
(161.0054657459259, -16604.604295381876)
(178.91903972625732, -16341.481414589747)
(196.82137155532837, -16507.401998731377)
(214.73845052719116, -16485.459855067977)
(233.76163840293884, -16376.166909339396)
(252.71250128746033, -16344.525114695454)
(271.23720812797546, -16384.53618152986)
