IBP
(4.1842858791351318, -3223098.9612147324)
(47.791904926300049, -350849.97917477426)
(131.69004392623901, -242562.70740089368)
(216.05548191070557, -231306.83543625654)
(300.46049380302429, -236102.29607379826)
(384.88870787620544, -236233.13954898884)
(469.28351283073425, -235802.10462989242)
(553.65778183937073, -236569.61610455098)
(641.62034964561462, -236007.94002871722)
(728.91679072380066, -236002.04086695539)
paintbox
(27.634280920028687, -293833.65196395555)
(56.243679046630859, -290907.77359601436)
(92.178856134414673, -274310.25165213645)
(126.06350827217102, -299182.14342376578)
(165.31975913047791, -266753.44113335863)
(203.47844314575195, -286232.03658499295)
(247.77260303497314, -275194.21496565017)
(295.32893109321594, -266638.27049421886)
(340.71692514419556, -254992.48513060436)
(387.29304003715515, -253911.78398961364)
(437.36486196517944, -250732.87416623664)
(484.45255994796753, -251674.47721361282)
(535.16845798492432, -254017.07261627319)
(585.54702210426331, -249979.38088573288)
(636.98318600654602, -249255.13894803764)
(688.04182100296021, -249861.06239512359)
(740.0366849899292, -249224.88814011891)
(792.12810397148132, -249713.19271573884)
(827.66817092895508, -249853.94345552463)
(863.9767689704895, -249584.12836517615)
